2.8865,4.199,1
1.8351,4.0751,0
2.3192,3.2163,0
3.8048,4.7237,1
3.8039,5.1584,1
4.5377,6.4652,1
3.7143,5.7191,1
2.6663,5.3855,1
3.7563,4.5702,1
-0.25885,-0.41838,0
1.9932,3.1068,0
2.067,3.1038,1
1.7009,1.1555,0
2.852,3.7569,1
5.379,7.6871,1
4.6601,5.7317,1
4.9642,7.0201,1
3.1351,4.3607,1
3.1345,3.2864,1
5.0984,6.3423,1
2.961,4.8075,0
-0.94428,-0.9377,0
2.8622,3.602,0
2.8824,4.6382,1
5.4367,6.5547,1
6.3505,9.5906,1
4.3252,5.9986,1
3.4897,4.485,0
4.3505,6.31,0
4.023,4.6463,1
3.0984,3.5029,0
5.6555,8.6628,1
5.527,6.3192,1
3.8697,5.0549,1
1.9369,5.093,0
2.0391,2.2273,1
3.3546,4.5209,0
0.92784,1.151,0
3.2451,1.7443,1
5.0187,8.6376,1
2.8404,3.6248,0
2.1978,2.4758,0
5.4193,8.418,1
6.5855,10.125,1
3.3997,4.0009,1
4.0335,5.0647,1
3.6651,5.3689,1
5.3703,7.1597,1
1.5314,2.5197,0
3.8023,5.7652,1
4.1873,5.7196,1
4.3129,5.9442,1
0.66632,0.40161,0
1.7744,2.521,0
3.4172,5.8112,0
4.2939,5.7146,1
2.7922,4.4033,1
4.7172,7.6451,1
2.668,2.2295,1
3.5326,5.7452,0
4.5201,7.043,1
4.508,5.0247,1
4.3075,6.2286,1
2.6383,5.5571,1
1.2577,1.6492,0
3.9175,3.2231,1
3.7586,5.9465,1
2.0326,4.5056,0
0.94182,0.84903,0
4.7223,7.4672,1
3.6969,4.5517,1
4.3188,6.0952,1
3.2127,4.7031,1
3.3331,4.5007,1
4.961,5.1023,1
1.8616,3.0701,1
1.8039,3.0899,0
1.6701,2.1716,1
3.1955,5.0985,1
4.5528,5.432,1
4.7147,5.9555,1
1.1604,0.29941,0
2.3252,2.5199,0
2.9109,4.7325,1
2.2916,2.3543,0
1.2127,2.5656,0
5.2607,8.0728,1
1.738,0.91926,0
3.1006,4.2319,0
3.2577,3.3362,1
3.4384,6.0574,0
4.5855,6.8531,0
2.3502,4.5577,0
1.561,2.4267,0
3.409,4.9607,0
2.0859,2.112,0
4.8622,7.0592,1
3.8059,5.6731,1
2.6715,2.8537,0
2.2053,0.79943,1
0.93842,2.7327,0
3.411,3.8329,1
0.85293,1.6735,0
3.7009,5.4336,1
4.6252,7.0433,1
3.1513,3.9535,1
4.3502,3.8629,1
4.0513,4.7899,1
0.20532,0.34381,0
1.0557,0.64379,1
2.3188,4.3604,0
2.0774,2.2242,0
2.7254,3.118,0
5.4897,7.4972,1
3.9652,4.7688,1
5.8339,7.359,1
