Id,Category
train_0.jpg,13
train_1.jpg,9
train_2.jpg,10
train_3.jpg,13
train_4.jpg,8
train_5.jpg,11
train_6.jpg,8
train_7.jpg,2
train_8.jpg,2
train_9.jpg,3
train_10.jpg,0
train_11.jpg,8
train_12.jpg,1
train_13.jpg,9
train_14.jpg,12
train_15.jpg,7
train_16.jpg,12
train_17.jpg,7
train_18.jpg,16
train_19.jpg,17
train_20.jpg,13
train_21.jpg,18
train_22.jpg,12
train_23.jpg,4
train_24.jpg,17
train_25.jpg,9
train_26.jpg,13
train_27.jpg,5
train_28.jpg,3
train_29.jpg,18
train_30.jpg,8
train_31.jpg,19
train_32.jpg,6
train_33.jpg,8
train_34.jpg,5
train_35.jpg,4
train_36.jpg,19
train_37.jpg,2
train_38.jpg,14
train_39.jpg,5
train_40.jpg,19
train_41.jpg,5
train_42.jpg,16
train_43.jpg,4
train_44.jpg,11
train_45.jpg,1
train_46.jpg,18
train_47.jpg,1
train_48.jpg,0
train_49.jpg,10
train_50.jpg,7
train_51.jpg,0
train_52.jpg,9
train_53.jpg,12
train_54.jpg,18
train_55.jpg,18
train_56.jpg,16
train_57.jpg,17
train_58.jpg,14
train_59.jpg,17
train_60.jpg,8
train_61.jpg,1
train_62.jpg,4
train_63.jpg,14
train_64.jpg,9
train_65.jpg,5
train_66.jpg,8
train_67.jpg,7
train_68.jpg,6
train_69.jpg,19
train_70.jpg,17
train_71.jpg,10
train_72.jpg,3
train_73.jpg,14
train_74.jpg,1
train_75.jpg,3
train_76.jpg,8
train_77.jpg,6
train_78.jpg,19
train_79.jpg,16
train_80.jpg,9
train_81.jpg,12
train_82.jpg,15
train_83.jpg,6
train_84.jpg,19
train_85.jpg,12
train_86.jpg,16
train_87.jpg,6
train_88.jpg,19
train_89.jpg,10
train_90.jpg,3
train_91.jpg,12
train_92.jpg,2
train_93.jpg,8
train_94.jpg,0
train_95.jpg,3
train_96.jpg,19
train_97.jpg,13
train_98.jpg,16
train_99.jpg,17
train_100.jpg,13
train_101.jpg,4
train_102.jpg,16
train_103.jpg,19
train_104.jpg,2
train_105.jpg,7
train_106.jpg,11
train_107.jpg,0
train_108.jpg,8
train_109.jpg,12
train_110.jpg,3
train_111.jpg,3
train_112.jpg,7
train_113.jpg,8
